Y;X1;X2;X3;X4
76,4;117,7;81,6;10,3;28,5
77,6;123,8;73,2;11,4;28,7
88,2;126,9;75,3;12,2;29,1
87,3;134,1;71,3;11,5;29,2
82,5;123,1;77,3;11,2;29,1
79,4;126,7;76,1;10,5;29,2
80,3;130,4;76,6;9,4;29,3
80,1;129,3;84,7;9,5;29,2
105,2;145,4;92,4;9,3;29,1
102,5;163,8;80,3;9,2;28,7
108,7;164,8;82,6;9,4;28,4
104,5;165,3;70,9;9,7;27,8
103,7;164,1;89,9;8,2;27,7
117,8;183,7;81,3;8,4;27,6
115,8;195,8;83,7;8,2;27,5
117,8;219,4;76,1;8,1;27,5
118,4;209,8;80,4;7,8;27,4
120,4;223,3;78,1;7,2;27,5
123,8;223,6;79,8;8,2;27,6
134,9;236,6;82,1;7,5;27,7
130,5;236,6;83,2;7,4;27,8
140,7;248,6;80,8;7,3;28,7
150,4;253,4;81,8;7,4;28,3
172,7;254,3;87,5;7,5;28,1
